"short","same_netdebt","r","health_inflation","cht_increment","labour_prod","oldshare","years","pop_scenario"
"BC",0.0112882708851115,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"AB",0.0459561631596377,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"SK",0.0300694984997004,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"MB",0.0128524252843399,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"ON",0.0253324403062033,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0131617629646819,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NB",0.0303666879481735,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NS",0.0179109192717775,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"PE",0.0247062030251326,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NL",0.0779842189132554,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0198756071245409,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"FED",-0.00333148429013808,0.03,0,0,0.005,0,25,"Projection scenario M2: medium-growth"
"BC",0.0137102273847059,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"AB",0.0462060600999782,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"SK",0.0307053755110976,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"MB",0.0128897636188509,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"ON",0.0268040890652036,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0121142181757363,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NB",0.0271604654462157,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NS",0.0192430085055501,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"PE",0.0287710544942303,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NL",0.0831149927910005,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"PROV",0.0217038566680063,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"FED",-0.00704328900037502,0.03,0,0,0.005,0,50,"Projection scenario M2: medium-growth"
"BC",0.0121923537464772,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"AB",0.0436964595134013,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"SK",0.0291648791239162,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"MB",0.00908778700353741,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"ON",0.0244316571625733,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"QC",-0.015945728441937,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NB",0.0200081348135109,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NS",0.0152057053062348,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"PE",0.0246677751394963,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NL",0.0802354540539102,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"PROV",0.0195862942181668,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0130495830277546,0.03,0,0,0.005,0,75,"Projection scenario M2: medium-growth"
"BC",0.00713650866009562,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"AB",0.041965950688385,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"SK",0.0258897447159788,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"MB",0.00726678361437575,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"ON",0.0200347308318245,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0191606302266536,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NB",0.0238922051289326,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NS",0.0114693590290396,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"PE",0.0177572426467738,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NL",0.0706145938602228,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0147895508589136,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"FED",-0.00784141963300897,0.03,0,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"BC",0.00580010838604639,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"AB",0.038435769885198,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"SK",0.0229250141473222,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"MB",0.00254216934618474,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"ON",0.0173413387350972,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"QC",-0.0231508453575828,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NB",0.0154276152661614,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NS",0.00731805465308642,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"PE",0.0152385417755024,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NL",0.0699665748058623,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"PROV",0.0124134587999253,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0149694902377794,0.03,0,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"BC",0.000772237006875688,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"AB",0.0323678311542966,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"SK",0.0180450084060557,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"MB",-0.00574362825424652,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"ON",0.0110946741061551,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0317648253188067,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NB",0.00366345782653845,0.03,0,0,0.0075,0,75,"Projection scenario M2: medium-growth"
